Block,Transaction Hash,Transaction Link,Seller Address,Buyer Address,OpenSea ETH Sale Price
13110049,0x47d251022b794771f08701b2f67529d8dd31bb0fecc85d887984271d34be8bdf,https://etherscan.io/tx/0x47d251022b794771f08701b2f67529d8dd31bb0fecc85d887984271d34be8bdf#eventlog,0xe32ACFcEdfa8BDa1d0ed03CaFa854219Ce0C9cEA,0x6B3bAcBA7a6dA1D6660079F5fd49FDC167Ec5783,
13110075,0x93589ef656cb1537d17ffbf91b2bf7c725781d6eb04c690f2c7aaf9bd3d09c01,https://etherscan.io/tx/0x93589ef656cb1537d17ffbf91b2bf7c725781d6eb04c690f2c7aaf9bd3d09c01#eventlog,0x5b14674aCb4727F73d5D236D8D58afC6b4fB10dC,0x03D293E4a5d3FCe3c4C85e6fC2549fAfAf518C0d,
13110148,0x939eff3069ff053ad72f0d8ff63e903ae669c3693e878ea489b2fda3084a80ec,https://etherscan.io/tx/0x939eff3069ff053ad72f0d8ff63e903ae669c3693e878ea489b2fda3084a80ec#eventlog,0xc88908b233501Ca848dF3156FdB30aF41eC29a8B,0x225B996977FD72E491C2dF5679076f0Aaca9f161,
13110184,0x97ed673e70da6c795d80e5d8bfa81f23956026e70706ffbf3c89fd43d0420174,https://etherscan.io/tx/0x97ed673e70da6c795d80e5d8bfa81f23956026e70706ffbf3c89fd43d0420174#eventlog,0x3FA5b646b19271033F059ec83de38738f3e3163D,0xb7692c097A20F6767e0464Bbe958D69bf082bAf5,36.100000
13110204,0xa8056d8295639e116de861afba423ecb563c0b268499f597cb217f0101d5f506,https://etherscan.io/tx/0xa8056d8295639e116de861afba423ecb563c0b268499f597cb217f0101d5f506#eventlog,0x11EC6DE5fD74E777b1a7d2e547A8B184507e58cF,0xBB67Fbf829C293bbc73DB7e0F4f5cb50CA351e74,39.990000
13110237,0xe77432d0d3a88fbc60bb9097222a28f3f012615bc89da9e5f77d8fbccd664e01,https://etherscan.io/tx/0xe77432d0d3a88fbc60bb9097222a28f3f012615bc89da9e5f77d8fbccd664e01#eventlog,0xFF6D917A46f3071e9DC83A57aBa7e1C6E46B991C,0x5Ff57FE847a6fb357d6765Ef7587C057c4253CC5,41.000000
13110293,0x652aef60394105dea3f247239a307cd0b99ab8dfb9522cb32bc761068113eaaa,https://etherscan.io/tx/0x652aef60394105dea3f247239a307cd0b99ab8dfb9522cb32bc761068113eaaa#eventlog,0x278F2607BdcDad788851Ceb91655e5c9e791Cd9C,0x09c7b90C32d5c028f468B494969d8249c1eeE184,
13110333,0xb0b6c8c8498f6aeb6e507c7cf0171b50170416a5e64af1fb15937dfb3f411e97,https://etherscan.io/tx/0xb0b6c8c8498f6aeb6e507c7cf0171b50170416a5e64af1fb15937dfb3f411e97#eventlog,0xb7692c097A20F6767e0464Bbe958D69bf082bAf5,0xd3fC6fec4b219c2D74B366FEe6B585df71611533,
13110350,0xbe07810c0585f5cbf4652478198a24a78376cdbd8698098cfc434dafb1c7ce3d,https://etherscan.io/tx/0xbe07810c0585f5cbf4652478198a24a78376cdbd8698098cfc434dafb1c7ce3d#eventlog,0x3b66C992860aBD1Ec94B917E222dcA78AD55032F,0xe19f9B7e1Ece7B765D4cB95939221919D6C23611,41.000000
13110355,0x11fa29704e00f84d822cd70923fa68aec05a67bb763e227c16e456675a304378,https://etherscan.io/tx/0x11fa29704e00f84d822cd70923fa68aec05a67bb763e227c16e456675a304378#eventlog,0x4c6b83Ca1c59781faB57790a46281bbd93E539FE,0xC310e760778ECBca4C65B6C559874757A4c4Ece0,
